2023-08-07 10:18:02,537 DEBUG   SenderThread:1131789 [sender.py:send_request():406] send_request: summary_record
2023-08-07 10:18:02,537 INFO    SenderThread:1131789 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2023-08-07 10:18:02,950 INFO    wandb-upload_0:1131789 [upload_job.py:push():131] Uploaded file /tmp/tmpp2kbv9aiwandb/4a434e0q-wandb-metadata.json
2023-08-07 10:18:03,111 INFO    Thread-12 :1131789 [dir_watcher.py:_on_file_created():271] file/dir created: ./wandb/run-20230807_101801-kuia1oij/files/wandb-summary.json
2023-08-07 10:18:03,111 INFO    Thread-12 :1131789 [dir_watcher.py:_on_file_created():271] file/dir created: ./wandb/run-20230807_101801-kuia1oij/files/requirements.txt
2023-08-07 10:18:03,112 INFO    Thread-12 :1131789 [dir_watcher.py:_on_file_created():271] file/dir created: ./wandb/run-20230807_101801-kuia1oij/files/wandb-metadata.json
2023-08-07 10:18:03,112 INFO    Thread-12 :1131789 [dir_watcher.py:_on_file_created():271] file/dir created: ./wandb/run-20230807_101801-kuia1oij/files/output.log
2023-08-07 10:18:05,112 INFO    Thread-12 :1131789 [dir_watcher.py:_on_file_modified():288] file/dir modified: ./wandb/run-20230807_101801-kuia1oij/files/output.log
2023-08-07 10:18:06,827 DEBUG   HandlerThread:1131789 [handler.py:handle_request():144] handle_request: status_report
2023-08-07 10:18:10,967 INFO    StreamThr :1131789 [internal.py:wandb_internal():86] W&B internal server running at pid: 1131789, started at: 2023-08-07 10:18:10.965937
2023-08-07 10:18:10,970 DEBUG   HandlerThread:1131789 [handler.py:handle_request():144] handle_request: status
2023-08-07 10:18:10,973 INFO    WriterThread:1131789 [datastore.py:open_for_write():85] open: wandb/wandb/run-20230807_101810-3f00labt/run-3f00labt.wandb
2023-08-07 10:18:10,974 DEBUG   SenderThread:1131789 [sender.py:send():379] send: header
2023-08-07 10:18:10,976 DEBUG   SenderThread:1131789 [sender.py:send():379] send: run
2023-08-07 10:18:11,652 INFO    SenderThread:1131789 [dir_watcher.py:__init__():211] watching files in: wandb/wandb/run-20230807_101810-3f00labt/files
2023-08-07 10:18:11,652 INFO    SenderThread:1131789 [sender.py:_start_run_threads():1121] run started: 3f00labt with start time 1691371090.967585
2023-08-07 10:18:11,657 DEBUG   SenderThread:1131789 [sender.py:send_request():406] send_request: summary_record
2023-08-07 10:18:11,658 INFO    SenderThread:1131789 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2023-08-07 10:18:11,682 DEBUG   HandlerThread:1131789 [handler.py:handle_request():144] handle_request: check_version
2023-08-07 10:18:11,683 DEBUG   SenderThread:1131789 [sender.py:send_request():406] send_request: check_version
2023-08-07 10:18:11,758 DEBUG   HandlerThread:1131789 [handler.py:handle_request():144] handle_request: run_start
2023-08-07 10:18:11,759 DEBUG   HandlerThread:1131789 [system_info.py:__init__():31] System info init
